identifier_Id,lot_lotnum,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_coolingtype,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
1,1,0.1,4000,NO POOL,0,Subdivision 0,TX0,1000 Main St,City0,ZIP2-0,ZIP3-0,ROOFTOP,CO0,Single Family,Residential,1950,N,Central,Gas,1000,1200,1100,950,Actual,1050,2,2.5,0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,200,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,100000,100
2,2,0.15,4100,POOL,1,Subdivision 1,TX1,1001 Main St,City1,ZIP2-1,ZIP3-1,ROOFTOP,CO1,Condo,Residential,1951,Y,,Electric,1002,1202,1102,952,Actual,1052,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,201,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,101000,101
3,3,0.2,4200,NO POOL,2,Subdivision 2,TX2,1002 Main St,City2,ZIP2-2,ZIP3-2,ROOFTOP,CO2,Single Family,Residential,1952,Y,Central,Electric,1004,1204,1104,954,Actual,1054,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,202,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,102000,102
4,4,0.25,4300,POOL,3,Subdivision 3,TX0,1003 Main St,City3,ZIP2-3,ZIP3-3,ROOFTOP,CO3,Condo,Residential,1953,Y,,Gas,1006,1206,1106,956,Actual,1056,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,203,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,103000,103
5,5,0.3,4400,NO POOL,4,Subdivision 4,TX1,1004 Main St,City4,ZIP2-4,ZIP3-4,ROOFTOP,CO4,Single Family,Residential,1954,Y,Central,Electric,1008,1208,1108,958,Actual,1058,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,204,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,104000,104
6,6,0.35,4500,POOL,5,Subdivision 0,TX2,1005 Main St,City5,ZIP2-5,ZIP3-5,ROOFTOP,CO5,Condo,Residential,1955,Y,,Electric,1010,1210,1110,960,Actual,1060,4,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,205,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,105000,105
7,7,0.4,4600,NO POOL,6,Subdivision 1,TX0,1006 Main St,City6,ZIP2-6,ZIP3-6,ROOFTOP,CO6,Single Family,Residential,1956,Y,Central,Gas,1012,1212,1112,962,Actual,1062,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,206,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,106000,106
8,8,0.45,4700,POOL,7,Subdivision 2,TX1,1007 Main St,City7,ZIP2-7,ZIP3-7,ROOFTOP,CO7,Condo,Residential,1957,Y,,Electric,1014,1214,1114,964,Actual,1064,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,207,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,107000,107
9,9,0.5,4800,NO POOL,8,Subdivision 3,TX2,1008 Main St,City8,ZIP2-8,ZIP3-8,ROOFTOP,CO8,Single Family,Residential,1958,Y,Central,Electric,1016,1216,1116,966,Actual,1066,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,208,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,108000,108
10,10,0.55,4900,POOL,9,Subdivision 4,TX0,1009 Main St,City9,ZIP2-9,ZIP3-9,ROOFTOP,CO9,Condo,Residential,1959,Y,,Gas,1018,1218,1118,968,Actual,1068,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,209,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,109000,109
11,11,0.1,5000,NO POOL,0,Subdivision 0,TX1,1010 Main St,City0,ZIP2-10,ZIP3-10,ROOFTOP,CO10,Single Family,Residential,1960,N,Central,Electric,1020,1220,1120,970,Actual,1070,3,2.5,500,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,210,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,110000,110
